0.0,-1.95
0.0,-1.9
0.0,-1.85
0.0,-1.8
0.0,-1.75
-0.05,-1.75
-0.1,-1.75
-0.15,-1.75
-0.2,-1.75
-0.25,-1.75
-0.3,-1.75
-0.3,-1.7
-0.3,-1.65
-0.3,-1.6
-0.3,-1.55
-0.3,-1.5
-0.3,-1.45
-0.35,-1.45
-0.35,-1.4
-0.4,-1.4
-0.4,-1.35
-0.45,-1.35
-0.45,-1.3
-0.5,-1.3
-0.5,-1.25
-0.55,-1.25
-0.55,-1.2
-0.6,-1.2
-0.6,-1.15
-0.65,-1.15
-0.65,-1.1
-0.7,-1.1
-0.7,-1.05
-0.75,-1.05
-0.75,-1.0
-0.8,-1.0
-0.85,-1.0
-0.85,-0.95
-0.9,-0.95
-0.9,-0.9
-0.95,-0.9
-1.0,-0.9
-1.05,-0.9
-1.1,-0.9
-1.1,-0.85
-1.1,-0.8
-1.1,-0.75
-1.1,-0.7
-1.1,-0.65
-1.15,-0.65
-1.15,-0.6
-1.2,-0.6
-1.2,-0.55
-1.25,-0.55
-1.25,-0.5
-1.15,-0.5
-1.1,-0.5
-1.1,-0.45
-1.1,-0.4
-1.1,-0.35
-1.1,-0.3
-1.1,-0.25
-1.1,-0.2
-1.1,-0.15
-1.1,-0.1
-1.05,-0.1
-1.0,-0.1
-0.95,-0.1
-0.9,-0.1
-0.85,-0.1
-0.8,-0.1
-0.75,-0.1
-0.7,-0.1
-0.65,-0.1
-0.6,-0.1
-0.55,-0.1
-0.5,-0.1
-0.45,-0.1
-0.4,-0.1
-0.35,-0.1
-0.3,-0.1
-0.25,-0.1
-0.2,-0.1
-0.15,-0.1
-0.1,-0.1
-0.1,-0.05
-0.05,-0.05
-0.05,0.0
0.0,0.0
0.0,0.1
0.0,0.15
0.0,0.2
0.0,0.25
-0.05,0.25
-0.1,0.25
-0.15,0.25
-0.2,0.25
-0.2,0.3
-0.25,0.3
-0.3,0.3
-0.35,0.3
-0.4,0.3
-0.4,0.35
-0.4,0.4
-0.4,0.45
-0.4,0.5
-0.4,0.55
-0.4,0.6
-0.4,0.65
-0.4,0.7
-0.4,0.75
-0.4,0.8
-0.4,0.85
-0.4,0.9
-0.4,0.95
-0.4,1.0
-0.4,1.05
-0.4,1.1
-0.35,1.1
-0.3,1.1
-0.25,1.1
-0.2,1.1
-0.15,1.1
-0.15,1.15
-0.1,1.15
-0.1,1.2
-0.05,1.2
-0.05,1.25
0.0,1.25
